Match,Teams,Auto Leave,Auto Coral L4,Auto Coral L3,Auto Coral L2,Auto Coral L1,Teleop Coral L4,Teleop Coral L3,Teleop Coral L2,Teleop Coral L1,Processor Algae,Net Algae,Endgame,Fouls,Adjustments,Total Score,Result
Quals 31 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,7002,3,0.00,0.00,0.34,0.26,0.00,1.71,1.53,0.86,1.04,0.68,2,-0.70,0.00,10.72,Loss
Quals 31 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,7047,3,0.00,0.00,1.69,1.30,0.00,8.57,7.66,4.28,5.19,3.38,2,-3.50,0.00,33.57,Loss
Quals 31 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6907,3,0.00,0.00,1.88,1.44,0.00,9.52,8.51,4.76,5.77,3.75,2,-3.89,0.00,36.74,Loss
Quals 32 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6941,3,10.73,0.00,0.00,0.00,15.40,12.29,10.73,18.51,0.00,4.04,12,0.00,0.00,86.70,Win
Quals 32 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6494,3,3.83,0.00,0.00,0.00,5.50,4.39,3.83,6.61,0.00,1.44,2,0.00,0.00,30.60,Win
Quals 32 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8011,3,6.13,0.00,0.00,0.00,8.80,7.02,6.13,10.58,0.00,2.31,0,0.00,0.00,43.97,Win
Quals 32 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6433,3,1.41,0.00,0.00,0.00,1.04,0.00,0.00,1.23,0.00,0.00,0,-1.23,0.00,5.45,Loss
Quals 32 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9991,3,3.23,0.00,0.00,0.00,2.39,0.00,0.00,2.81,0.00,0.00,12,-2.81,0.00,20.62,Loss
Quals 32 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,5515,3,2.26,0.00,0.00,0.00,1.67,0.00,0.00,1.96,0.00,0.00,2,-1.96,0.00,8.93,Loss
Quals 34 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9994,3,3.00,0.00,0.00,1.30,2.21,0.00,0.00,4.30,0.00,0.00,2,0.00,0.00,15.81,Loss
Quals 34 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8015,3,1.57,0.00,0.00,0.68,1.16,0.00,0.00,2.26,0.00,0.00,2,0.00,0.00,10.67,Loss
Quals 34 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6940,3,2.33,0.00,0.00,1.01,1.72,0.00,0.00,3.34,0.00,0.00,2,0.00,0.00,13.40,Loss
Quals 34 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8214,3,14.98,0.00,0.00,0.00,24.26,14.98,12.86,6.51,0.00,4.23,2,0.00,0.00,82.82,Win
Quals 34 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6487,3,10.70,0.00,0.00,0.00,17.33,10.70,9.19,4.65,0.00,3.02,12,0.00,0.00,70.59,Win
Quals 34 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,7002,3,1.93,0.00,0.00,0.00,3.12,1.93,1.65,0.84,0.00,0.54,0,0.00,0.00,13.01,Win
Quals 35 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9993,3,0.00,0.00,4.36,0.00,19.47,17.79,9.90,1.17,6.71,4.36,12,0.00,0.00,78.76,Win
Quals 35 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10486,3,0.00,0.00,0.98,0.00,4.38,4.00,2.23,0.26,1.51,0.98,0,0.00,0.00,17.34,Win
Quals 35 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6766,3,0.00,0.00,2.45,0.00,10.95,10.01,5.57,0.66,3.78,2.45,2,0.00,0.00,40.87,Win
Quals 35 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10523,3,6.00,0.00,0.00,0.00,17.22,3.39,0.00,0.91,5.22,3.39,12,-2.61,0.00,48.52,Loss
Quals 35 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,5849,3,4.80,0.00,0.00,0.00,13.77,2.71,0.00,0.73,4.17,2.71,0,-2.09,0.00,29.80,Loss
Quals 35 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6433,3,3.00,0.00,0.00,0.00,8.61,1.70,0.00,0.46,2.61,1.70,2,-1.30,0.00,21.78,Loss
Quals 36 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,7047,3,7.67,0.00,0.00,0.00,27.50,11.00,5.00,5.50,6.67,4.33,0,0.00,0.00,70.67,Loss
Quals 36 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8011,3,6.13,0.00,0.00,0.00,22.00,8.80,4.00,4.40,5.33,3.47,2,0.00,0.00,59.13,Loss
Quals 36 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8810,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12,0.00,0.00,15.00,Loss
Quals 36 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6941,3,12.33,0.00,0.00,1.06,19.35,11.27,9.46,0.00,4.25,1.38,2,0.00,0.00,64.10,Win
Quals 36 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,5515,3,7.05,0.00,0.00,0.61,11.06,6.44,5.41,0.00,2.43,0.79,2,0.00,0.00,38.79,Win
Quals 36 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6706,3,15.42,0.00,0.00,1.33,24.19,14.09,11.83,0.00,5.32,1.73,2,0.00,0.00,78.91,Win
Quals 37 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6494,3,2.80,0.00,0.00,0.00,8.02,6.44,3.04,4.01,2.43,1.58,2,-0.43,0.00,32.89,Loss
Quals 37 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9992,3,4.79,0.00,0.00,0.00,13.75,11.04,5.21,6.88,4.17,2.71,0,-0.73,0.00,50.82,Loss
Quals 37 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6487,3,6.21,0.00,0.00,0.00,17.83,14.32,6.75,8.91,5.40,3.51,12,-0.95,0.00,76.98,Loss
Quals 37 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10479,3,19.42,0.00,0.00,0.00,19.11,9.66,8.29,3.46,4.20,1.36,2,0.00,0.00,70.50,Win
Quals 37 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,5516,3,16.65,0.00,0.00,0.00,16.38,8.28,7.11,2.97,3.60,1.17,2,0.00,0.00,61.16,Win
Quals 37 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8214,3,19.42,0.00,0.00,0.00,19.11,9.66,8.29,3.46,4.20,1.36,2,0.00,0.00,70.50,Win
Quals 38 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9994,3,4.85,0.00,1.37,1.05,8.64,6.95,6.22,2.11,8.32,2.74,0,0.00,0.00,45.25,Win
Quals 38 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6907,3,4.71,0.00,1.33,1.02,8.40,6.76,6.04,2.05,8.09,2.66,12,0.00,0.00,56.06,Win
