Match,Teams,Auto Leave,Auto Coral L4,Auto Coral L3,Auto Coral L2,Auto Coral L1,Teleop Coral L4,Teleop Coral L3,Teleop Coral L2,Teleop Coral L1,Processor Algae,Net Algae,Endgame,Fouls,Adjustments,Total Score,Result
Quals 41 - Shanghai Regional 2025,10131,3,2.59,0.00,0.00,0.00,4.61,3.71,2.81,2.25,0.00,0.00,2,0.00,0.00,20.97,Win
Quals 41 - Shanghai Regional 2025,6941,3,6.04,0.00,0.00,0.00,10.76,8.66,6.56,5.25,0.00,0.00,2,0.00,0.00,42.27,Win
Quals 41 - Shanghai Regional 2025,5449,3,5.17,0.00,0.00,0.00,9.22,7.42,5.62,4.50,0.00,0.00,12,0.00,0.00,46.93,Win
Quals 42 - Shanghai Regional 2025,6353,3,2.51,0.00,0.00,0.55,9.00,2.18,0.00,0.71,0.00,2.18,2,0.00,0.00,22.13,Loss
Quals 42 - Shanghai Regional 2025,9635,3,5.02,0.00,0.00,1.09,18.00,4.36,0.00,1.42,0.00,4.36,2,0.00,0.00,39.25,Loss
Quals 42 - Shanghai Regional 2025,5516,3,6.27,0.00,0.00,1.36,22.50,5.45,0.00,1.77,0.00,5.45,0,0.00,0.00,45.80,Loss
Quals 42 - Shanghai Regional 2025,10214,3,5.65,0.00,0.00,0.82,13.50,5.40,0.00,0.00,0.00,2.13,2,0.00,0.00,32.50,Win
Quals 42 - Shanghai Regional 2025,8214,3,7.53,0.00,0.00,1.09,18.00,7.20,0.00,0.00,0.00,2.84,2,0.00,0.00,41.66,Win
Quals 42 - Shanghai Regional 2025,8810,3,7.53,0.00,0.00,1.09,18.00,7.20,0.00,0.00,0.00,2.84,0,0.00,0.00,39.66,Win
Quals 43 - Shanghai Regional 2025,8613,3,2.16,0.00,1.22,0.00,15.47,8.62,5.53,1.22,0.00,0.00,12,0.00,0.00,49.22,Win
Quals 43 - Shanghai Regional 2025,10479,3,2.59,0.00,1.46,0.00,18.56,10.35,6.64,1.46,0.00,0.00,0,0.00,0.00,44.06,Win
Quals 43 - Shanghai Regional 2025,6414,3,2.16,0.00,1.22,0.00,15.47,8.62,5.53,1.22,0.00,0.00,2,0.00,0.00,39.22,Win
Quals 43 - Shanghai Regional 2025,6766,3,0.00,0.00,1.30,0.00,16.50,5.30,1.00,2.60,0.00,1.30,0,0.00,0.00,31.00,Loss
Quals 43 - Shanghai Regional 2025,7738,3,0.00,0.00,1.30,0.00,16.50,5.30,1.00,2.60,0.00,1.30,0,0.00,0.00,31.00,Loss
Quals 43 - Shanghai Regional 2025,6907,3,0.00,0.00,1.30,0.00,16.50,5.30,1.00,2.60,0.00,1.30,0,0.00,0.00,31.00,Loss
Quals 44 - Shanghai Regional 2025,9599,3,8.87,0.00,0.00,0.00,25.46,10.16,0.00,0.90,2.57,0.00,0,-0.90,0.00,50.06,Win
Quals 44 - Shanghai Regional 2025,7522,3,8.87,0.00,0.00,0.00,25.46,10.16,0.00,0.90,2.57,0.00,0,-0.90,0.00,50.06,Win
Quals 44 - Shanghai Regional 2025,6494,3,2.96,0.00,0.00,0.00,8.49,3.39,0.00,0.30,0.86,0.00,0,-0.30,0.00,18.70,Win
Quals 44 - Shanghai Regional 2025,6394,3,4.78,0.00,0.00,0.00,10.28,2.70,5.19,2.70,0.00,2.70,2,-0.73,0.00,32.62,Loss
Quals 44 - Shanghai Regional 2025,8011,3,4.78,0.00,0.00,0.00,10.28,2.70,5.19,2.70,0.00,2.70,12,-0.73,0.00,42.62,Loss
Quals 44 - Shanghai Regional 2025,5849,3,4.25,0.00,0.00,0.00,9.14,2.40,4.62,2.40,0.00,2.40,2,-0.65,0.00,29.56,Loss
Quals 45 - Shanghai Regional 2025,5515,3,2.30,0.00,0.00,1.00,6.60,10.60,2.00,0.00,0.00,0.00,2,-2.00,0.00,25.50,Loss
Quals 45 - Shanghai Regional 2025,10438,3,1.53,0.00,0.00,0.67,4.40,7.07,1.33,0.00,0.00,0.00,2,-1.33,0.00,18.67,Loss
Quals 45 - Shanghai Regional 2025,10120,3,3.07,0.00,0.00,1.33,8.80,14.13,2.67,0.00,0.00,0.00,2,-2.67,0.00,32.33,Loss
Quals 45 - Shanghai Regional 2025,10526,3,4.25,0.00,0.00,0.00,10.71,2.40,1.85,0.65,0.00,0.00,2,-0.65,0.00,24.21,Win
Quals 45 - Shanghai Regional 2025,9597,3,5.73,0.00,0.00,0.00,14.46,3.24,2.49,0.87,0.00,0.00,2,-0.87,0.00,30.92,Win
Quals 45 - Shanghai Regional 2025,8015,3,3.82,0.00,0.00,0.00,9.64,2.16,1.66,0.58,0.00,0.00,2,-0.58,0.00,22.28,Win
Quals 46 - Shanghai Regional 2025,7594,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.22,0.00,2,-13.96,0.00,-6.74,Loss
Quals 46 - Shanghai Regional 2025,10000,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.70,0.00,2,-12.56,0.00,-2.86,Loss
