Match,Teams,Auto Leave,Auto Coral L4,Auto Coral L3,Auto Coral L2,Auto Coral L1,Teleop Coral L4,Teleop Coral L3,Teleop Coral L2,Teleop Coral L1,Processor Algae,Net Algae,Endgame,Fouls,Adjustments,Total Score,Result
Quals 11 - Shanghai Regional 2025,6941,3,6.9,0,0,0,13.2,6.6,5,0.7,0,1.3,12,0,0,48.7,Win
Quals 11 - Shanghai Regional 2025,6414,3,6.9,0,0,0,13.2,6.6,5,0.7,0,1.3,2,0,0,38.7,Win
Quals 11 - Shanghai Regional 2025,6706,3,6.9,0,0,0,13.2,6.6,5,0.7,0,1.3,2,0,0,38.7,Win
Quals 11 - Shanghai Regional 2025,7413,3,0,0,0,0,6.6,5.3,1,0,2,0,2,0,0,19.9,Loss
Quals 11 - Shanghai Regional 2025,8810,3,0,0,0,0,6.6,5.3,1,0,2,0,2,0,0,19.9,Loss
Quals 11 - Shanghai Regional 2025,10120,3,0,0,0,0,6.6,5.3,1,0,2,0,0,0,0,17.9,Loss
Quals 12 - Shanghai Regional 2025,10486,0,4.6,0,0,1,18.2,0,0,0,0,2.6,0,-0.7,0,25.7,Win
Quals 12 - Shanghai Regional 2025,7738,0,4.6,0,0,1,18.2,0,0,0,0,2.6,2,-0.7,0,27.7,Win
Quals 12 - Shanghai Regional 2025,8214,3,4.6,0,0,1,18.2,0,0,0,0,2.6,2,-0.7,0,30.7,Win
Quals 12 - Shanghai Regional 2025,6394,3,4.6,0,0,0,9.9,5.3,0,0,2,0,2,-2,0,24.8,Loss
Quals 12 - Shanghai Regional 2025,10526,3,4.6,0,0,0,9.9,5.3,0,0,2,0,0,-2,0,22.8,Loss
Quals 12 - Shanghai Regional 2025,10131,3,4.6,0,0,0,9.9,5.3,0,0,2,0,2,-2,0,24.8,Loss
Quals 13 - Shanghai Regional 2025,10214,3,0,0,0,1,9.9,0,0,0,0,0,2,-3.3,0,12.6,Loss
Quals 13 - Shanghai Regional 2025,5515,3,0,0,0,1,9.9,0,0,0,0,0,0,-3.3,0,10.6,Loss
Quals 13 - Shanghai Regional 2025,7047,3,0,0,0,1,9.9,0,0,0,0,0,0,-3.3,0,10.6,Loss
Quals 13 - Shanghai Regional 2025,10016,3,2.3,0,1.3,0,8.2,6.6,5.9,0.7,0,1.3,2,0,0,31.3,Win
Quals 13 - Shanghai Regional 2025,8011,3,2.3,0,1.3,0,8.2,6.6,5.9,0.7,0,1.3,12,0,0,41.3,Win
Quals 13 - Shanghai Regional 2025,6907,3,2.3,0,1.3,0,8.2,6.6,5.9,0.7,0,1.3,0,0,0,29.3,Win
Quals 14 - Shanghai Regional 2025,9597,3,6.9,0,0,0,19.8,5.3,5,0,0,0,0,-0.7,0,39.3,Win
Quals 14 - Shanghai Regional 2025,5516,3,6.9,0,0,0,19.8,5.3,5,0,0,0,0,-0.7,0,39.3,Win
Quals 14 - Shanghai Regional 2025,10438,3,6.9,0,0,0,19.8,5.3,5,0,0,0,0,-0.7,0,39.3,Win
Quals 14 - Shanghai Regional 2025,7522,3,2.3,2,0,0,13.2,6.6,5,1.3,0,0,2,0,0,35.4,Loss
Quals 14 - Shanghai Regional 2025,6433,0,2.3,2,0,0,13.2,6.6,5,1.3,0,0,0,0,0,30.4,Loss
Quals 14 - Shanghai Regional 2025,8613,3,2.3,2,0,0,13.2,6.6,5,1.3,0,0,12,0,0,45.4,Loss
Quals 15 - Shanghai Regional 2025,6487,3,6.9,0,0,0,18.2,4,0,2,5.9,0,2,0,0,42,Win
Quals 15 - Shanghai Regional 2025,10479,3,6.9,0,0,0,18.2,4,0,2,5.9,0,2,0,0,42,Win
Quals 15 - Shanghai Regional 2025,9599,3,6.9,0,0,0,18.2,4,0,2,5.9,0,0,0,0,40,Win
Quals 15 - Shanghai Regional 2025,6304,3,4.6,0,0,0,11.6,2.6,0,2.6,0,1.3,2,0,0,27.7,Loss
Quals 15 - Shanghai Regional 2025,6353,3,4.6,0,0,0,11.6,2.6,0,2.6,0,1.3,2,0,0,27.7,Loss
Quals 15 - Shanghai Regional 2025,10541,3,4.6,0,0,0,11.6,2.6,0,2.6,0,1.3,12,0,0,37.7,Loss
Quals 16 - Shanghai Regional 2025,6414,3,0,2,1.3,0,0,7.9,5,0.7,0,0,2,0,0,21.9,Loss
Quals 16 - Shanghai Regional 2025,5849,3,0,2,1.3,0,0,7.9,5,0.7,0,0,2,0,0,21.9,Loss
Quals 16 - Shanghai Regional 2025,4613,3,0,2,1.3,0,0,7.9,5,0.7,0,0,12,0,0,31.9,Loss
Quals 16 - Shanghai Regional 2025,8015,3,4.6,0,0,0,16.5,0,0,2,0,0,2,0,0,28.1,Win
Quals 16 - Shanghai Regional 2025,7594,0,4.6,0,0,0,16.5,0,0,2,0,0,0,0,0,23.1,Win
Quals 16 - Shanghai Regional 2025,9635,3,4.6,0,0,0,16.5,0,0,2,0,0,2,0,0,28.1,Win
Quals 17 - Shanghai Regional 2025,7002,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,Loss
Quals 17 - Shanghai Regional 2025,7413,3,0,0,0,0,0,0,0,0,2,0,2,0,0,7,Loss
Quals 17 - Shanghai Regional 2025,10558,3,0,0,0,0,0,0,0,0,2,0,0,0,0,5,Loss
Quals 17 - Shanghai Regional 2025,10526,3,4.6,0,0,2,8.2,2.6,5.9,2.6,0,1.3,0,0,0,30.2,Win
Quals 17 - Shanghai Regional 2025,6494,3,4.6,0,0,2,8.2,2.6,5.9,2.6,0,1.3,0,0,0,30.2,Win
Quals 17 - Shanghai Regional 2025,10120,3,4.6,0,0,2,8.2,2.6,5.9,2.6,0,1.3,12,0,0,42.2,Win
Quals 19 - Shanghai Regional 2025,5823,3,4.6,0,0,0,19.8,7.9,0,1.3,0,0,2,0,0,38.6,Win
Quals 19 - Shanghai Regional 2025,5515,3,4.6,0,0,0,19.8,7.9,0,1.3,0,0,0,0,0,36.6,Win
Quals 19 - Shanghai Regional 2025,6941,3,4.6,0,0,0,19.8,7.9,0,1.3,0,0,12,0,0,48.6,Win
Quals 19 - Shanghai Regional 2025,10438,3,4.6,0,0,0,18.2,5.3,1,0,0,0,2,-2,0,32.1,Loss
