Match,Teams,Auto Leave,Auto Coral L4,Auto Coral L3,Auto Coral L2,Auto Coral L1,Teleop Coral L4,Teleop Coral L3,Teleop Coral L2,Teleop Coral L1,Processor Algae,Net Algae,Endgame,Fouls,Adjustments,Total Score,Result
Quals 36 - Shanghai Regional 2025,7738,3,0.00,0.00,0.00,0.00,8.46,0.00,0.00,3.36,0.00,0.00,2,0.00,0.00,16.82,Win
Quals 36 - Shanghai Regional 2025,10016,3,0.00,0.00,0.00,0.00,13.17,0.00,0.00,5.22,0.00,0.00,0,0.00,0.00,21.39,Win
Quals 36 - Shanghai Regional 2025,6433,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,-0.00,0.00,2.00,Loss
Quals 36 - Shanghai Regional 2025,8214,3,14.61,0.00,0.00,0.00,10.59,0.00,0.00,0.00,0.00,5.51,0,-8.47,0.00,25.24,Loss
Quals 36 - Shanghai Regional 2025,6494,3,6.09,0.00,0.00,0.00,4.41,0.00,0.00,0.00,0.00,2.29,2,-3.53,0.00,14.26,Loss
Quals 37 - Shanghai Regional 2025,10120,3,0.00,0.00,0.00,1.95,19.34,6.45,0.00,1.27,0.00,5.18,2,0.00,0.00,39.19,Win
Quals 37 - Shanghai Regional 2025,7002,3,0.00,0.00,0.00,1.12,11.05,3.68,0.00,0.73,0.00,2.96,2,0.00,0.00,24.54,Win
Quals 37 - Shanghai Regional 2025,7522,3,0.00,0.00,0.00,2.93,29.01,9.67,0.00,1.90,0.00,7.77,2,0.00,0.00,56.28,Win
Quals 37 - Shanghai Regional 2025,6304,3,1.84,0.00,0.00,0.00,6.56,2.08,0.00,0.00,4.72,0.00,0,-1.60,0.00,16.60,Loss
Quals 37 - Shanghai Regional 2025,9599,3,4.14,0.00,0.00,0.00,14.76,4.68,0.00,0.00,10.62,0.00,2,-3.60,0.00,35.60,Loss
Quals 37 - Shanghai Regional 2025,10486,3,0.92,0.00,0.00,0.00,3.28,1.04,0.00,0.00,2.36,0.00,2,-0.80,0.00,11.80,Loss
Quals 38 - Shanghai Regional 2025,5823,3,0.00,0.00,0.00,2.23,7.37,20.55,0.00,0.00,0.00,0.00,2,0.00,0.00,35.15,Loss
Quals 38 - Shanghai Regional 2025,7047,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3.00,Loss
Quals 38 - Shanghai Regional 2025,10438,3,0.00,0.00,0.00,0.77,2.53,7.05,0.00,0.00,0.00,0.00,2,0.00,0.00,15.35,Loss
Quals 38 - Shanghai Regional 2025,5849,3,2.76,0.00,0.00,0.00,4.64,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,10.40,Win
Quals 38 - Shanghai Regional 2025,7594,0,6.90,0.00,0.00,0.00,11.60,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,18.50,Win
Quals 38 - Shanghai Regional 2025,6940,3,11.04,0.00,0.00,0.00,18.56,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,32.60,Win
Quals 39 - Shanghai Regional 2025,8015,3,0.00,0.00,0.00,2.67,19.87,0.00,1.33,1.73,7.87,0.00,2,-2.67,0.00,35.80,Loss
Quals 39 - Shanghai Regional 2025,7413,3,0.00,0.00,0.00,1.56,11.59,0.00,0.78,1.01,4.59,0.00,2,-1.56,0.00,22.97,Loss
Quals 39 - Shanghai Regional 2025,8011,3,0.00,0.00,0.00,1.78,13.24,0.00,0.89,1.16,5.24,0.00,2,-1.78,0.00,25.53,Loss
Quals 39 - Shanghai Regional 2025,6487,3,3.38,0.00,0.00,0.00,9.71,11.62,5.88,4.85,0.00,5.88,0,0.00,0.00,44.32,Win
Quals 39 - Shanghai Regional 2025,10558,3,2.84,0.00,0.00,0.00,8.15,9.76,4.94,4.08,0.00,4.94,2,0.00,0.00,39.71,Win
