Match,Teams,Auto Leave,Auto Coral L4,Auto Coral L3,Auto Coral L2,Auto Coral L1,Teleop Coral L4,Teleop Coral L3,Teleop Coral L2,Teleop Coral L1,Processor Algae,Net Algae,Endgame,Fouls,Adjustments,Total Score,Result
Match 11 - Duel Down Under 2025,5584,3,15.75,0.00,0.00,0.00,17.92,16.16,4.07,0.00,0.00,0.00,12,0.00,0.00,68.90,Loss
Match 11 - Duel Down Under 2025,7433,3,10.44,0.00,0.00,0.00,11.88,10.71,2.70,0.00,0.00,0.00,0,0.00,0.00,38.73,Loss
Match 12 - Duel Down Under 2025,9147,3,1.58,2.74,0.00,0.69,12.48,4.53,0.00,0.89,0.00,0.00,2,0.00,0.00,27.91,Win
Match 12 - Duel Down Under 2025,6510,3,2.66,4.63,0.00,1.16,21.06,7.64,0.00,1.50,0.00,0.00,2,0.00,0.00,43.65,Win
Match 12 - Duel Down Under 2025,8613,3,2.66,4.63,0.00,1.16,21.06,7.64,0.00,1.50,0.00,0.00,12,0.00,0.00,53.65,Win
Match 12 - Duel Down Under 2025,4774,3,0.00,0.00,0.00,1.05,12.23,0.00,0.00,0.00,0.00,6.96,12,-0.74,0.00,34.50,Loss
Match 12 - Duel Down Under 2025,10002,3,0.00,0.00,0.00,0.97,11.29,0.00,0.00,0.00,0.00,6.42,2,-0.68,0.00,23.00,Loss
Match 12 - Duel Down Under 2025,4729,3,0.00,0.00,0.00,0.97,11.29,0.00,0.00,0.00,0.00,6.42,2,-0.68,0.00,23.00,Loss
Match 13 - Duel Down Under 2025,9985,3,5.12,0.00,0.00,0.74,13.52,8.84,2.23,0.00,2.97,0.00,2,0.00,0.00,38.42,Win
Match 13 - Duel Down Under 2025,5584,3,9.37,0.00,0.00,1.36,24.71,16.16,4.07,0.00,5.43,0.00,12,0.00,0.00,76.10,Win
Match 13 - Duel Down Under 2025,7433,3,6.21,0.00,0.00,0.90,16.38,10.71,2.70,0.00,3.60,0.00,0,0.00,0.00,43.50,Win
Match 13 - Duel Down Under 2025,9147,3,3.15,1.37,0.00,0.00,12.48,4.53,0.69,0.89,0.00,0.00,2,0.00,0.00,28.11,Loss
Match 13 - Duel Down Under 2025,6510,3,5.32,2.31,0.00,0.00,21.06,7.64,1.16,1.50,0.00,0.00,0,0.00,0.00,41.99,Loss
Match 13 - Duel Down Under 2025,8613,3,5.32,2.31,0.00,0.00,21.06,7.64,1.16,1.50,0.00,0.00,2,0.00,0.00,43.99,Loss
Finals 1 - Duel Down Under 2025,9983,3,2.32,2.02,0.00,0.00,10.00,14.65,4.04,0.00,0.00,5.35,2,0.00,0.00,43.38,Loss
Finals 1 - Duel Down Under 2025,4613,3,2.25,1.96,0.00,0.00,9.70,14.20,3.92,0.00,0.00,5.19,12,0.00,0.00,52.22,Loss
Finals 1 - Duel Down Under 2025,3132,3,2.32,2.02,0.00,0.00,10.00,14.65,4.04,0.00,0.00,5.35,2,0.00,0.00,43.38,Loss
Finals 1 - Duel Down Under 2025,9985,3,8.61,0.00,0.00,0.00,14.70,8.84,2.23,0.52,1.49,0.00,2,-0.52,0.00,40.87,Win
Finals 1 - Duel Down Under 2025,5584,3,15.75,0.00,0.00,0.00,26.88,16.16,4.07,0.95,2.72,0.00,2,-0.95,0.00,70.58,Win
