Match,Teams,Auto Leave,Auto Coral L4,Auto Coral L3,Auto Coral L2,Auto Coral L1,Teleop Coral L4,Teleop Coral L3,Teleop Coral L2,Teleop Coral L1,Processor Algae,Net Algae,Endgame,Fouls,Adjustments,Total Score,Result
Match 7 - Shanghai Regional 2025,7522,3,4.6,2.0,1.3,0.0,18.2,13.2,4.0,0.0,0.0,0.0,2,-0.0,0.0,48.3,Loss
Match 7 - Shanghai Regional 2025,9597,3,4.6,2.0,1.3,0.0,18.2,13.2,4.0,0.0,0.0,0.0,2,-0.0,0.0,48.3,Loss
Match 8 - Shanghai Regional 2025,6940,3,11.6,0.0,0.0,0.0,19.8,14.5,0.0,0.0,0.0,4.0,12,-2.0,0.0,62.9,Win
Match 8 - Shanghai Regional 2025,6304,3,11.6,0.0,0.0,0.0,19.8,14.5,0.0,0.0,0.0,4.0,2,-2.0,0.0,52.9,Win
Match 8 - Shanghai Regional 2025,8214,3,11.6,0.0,0.0,0.0,19.8,14.5,0.0,0.0,0.0,4.0,2,-2.0,0.0,52.9,Win
Match 8 - Shanghai Regional 2025,9635,3,9.2,0.0,0.0,0.0,11.6,9.2,0.0,0.7,0.0,4.0,2,-0.7,0.0,39.0,Loss
Match 8 - Shanghai Regional 2025,6487,3,9.2,0.0,0.0,0.0,11.6,9.2,0.0,0.7,0.0,4.0,2,-0.7,0.0,39.0,Loss
Match 8 - Shanghai Regional 2025,10526,3,9.2,0.0,0.0,0.0,11.6,9.2,0.0,0.7,0.0,4.0,2,-0.7,0.0,39.0,Loss
Match 9 - Shanghai Regional 2025,7522,3,6.9,0.0,1.3,0.0,19.8,15.8,8.9,0.0,0.0,0.0,2,-2.0,0.0,55.7,Win
Match 9 - Shanghai Regional 2025,4613,3,6.9,0.0,1.3,0.0,19.8,15.8,8.9,0.0,0.0,0.0,12,-2.0,0.0,65.7,Win
Match 9 - Shanghai Regional 2025,9597,3,6.9,0.0,1.3,0.0,19.8,15.8,8.9,0.0,0.0,0.0,2,-2.0,0.0,55.7,Win
Match 9 - Shanghai Regional 2025,5823,3,6.9,0.0,0.0,0.0,18.2,1.3,0.0,0.7,0.0,0.0,12,-0.0,0.0,42.1,Loss
Match 9 - Shanghai Regional 2025,10214,3,6.9,0.0,0.0,0.0,18.2,1.3,0.0,0.7,0.0,0.0,0,-0.0,0.0,30.1,Loss
Match 9 - Shanghai Regional 2025,5516,3,6.9,0.0,0.0,0.0,18.2,1.3,0.0,0.7,0.0,0.0,0,-0.0,0.0,30.1,Loss
Match 10 - Shanghai Regional 2025,9635,3,11.6,0.0,0.0,0.0,19.8,15.8,1.0,2.0,0.0,6.6,2,-0.0,0.0,61.8,Win
Match 10 - Shanghai Regional 2025,6487,3,11.6,0.0,0.0,0.0,19.8,15.8,1.0,2.0,0.0,6.6,2,-0.0,0.0,61.8,Win
Match 10 - Shanghai Regional 2025,10526,3,11.6,0.0,0.0,0.0,19.8,15.8,1.0,2.0,0.0,6.6,0,-0.0,0.0,59.8,Win
Match 10 - Shanghai Regional 2025,10438,3,9.2,0.0,0.0,0.0,19.8,7.9,0.0,1.3,0.0,1.3,0,-1.3,0.0,41.2,Loss
Match 10 - Shanghai Regional 2025,8011,3,9.2,0.0,0.0,0.0,19.8,7.9,0.0,1.3,0.0,1.3,12,-1.3,0.0,53.2,Loss
Match 10 - Shanghai Regional 2025,6706,3,9.2,0.0,0.0,0.0,19.8,7.9,0.0,1.3,0.0,1.3,0,-1.3,0.0,41.2,Loss
Match 11 - Shanghai Regional 2025,10120,3,11.6,0.0,0.0,0.0,19.8,15.8,2.0,0.7,0.0,0.0,2,-0.0,0.0,54.9,Win
Match 11 - Shanghai Regional 2025,5449,3,11.6,0.0,0.0,0.0,19.8,15.8,2.0,0.7,0.0,0.0,12,-0.0,0.0,64.9,Win
Match 11 - Shanghai Regional 2025,6941,3,11.6,0.0,0.0,0.0,19.8,15.8,2.0,0.7,0.0,0.0,2,-0.0,0.0,54.9,Win
Match 11 - Shanghai Regional 2025,6940,3,9.2,0.0,0.0,0.0,18.2,13.2,0.0,0.7,0.0,1.3,12,-0.7,0.0,56.9,Loss
Match 11 - Shanghai Regional 2025,6304,3,9.2,0.0,0.0,0.0,18.2,13.2,0.0,0.7,0.0,1.3,2,-0.7,0.0,46.9,Loss
Match 11 - Shanghai Regional 2025,8214,3,9.2,0.0,0.0,0.0,18.2,13.2,0.0,0.7,0.0,1.3,12,-0.7,0.0,56.9,Loss
Match 12 - Shanghai Regional 2025,9635,3,13.9,0.0,0.0,0.0,19.8,14.5,7.9,0.0,0.0,5.3,2,-0.0,0.0,66.4,Win
Match 12 - Shanghai Regional 2025,6487,3,13.9,0.0,0.0,0.0,19.8,14.5,7.9,0.0,0.0,5.3,2,-0.0,0.0,66.4,Win
Match 12 - Shanghai Regional 2025,10526,3,13.9,0.0,0.0,0.0,19.8,14.5,7.9,0.0,0.0,5.3,2,-0.0,0.0,66.4,Win
Match 12 - Shanghai Regional 2025,7522,3,6.9,2.0,1.3,0.0,19.8,15.8,10.9,1.3,0.0,0.0,2,-0.0,0.0,63.0,Loss
Match 12 - Shanghai Regional 2025,4613,3,6.9,2.0,1.3,0.0,19.8,15.8,10.9,1.3,0.0,0.0,12,-0.0,0.0,73.0,Loss
Match 12 - Shanghai Regional 2025,9597,3,6.9,2.0,1.3,0.0,19.8,15.8,10.9,1.3,0.0,0.0,2,-0.0,0.0,63.0,Loss
Match 13 - Shanghai Regional 2025,6940,3,9.2,0.0,0.0,0.0,19.8,15.8,2.0,0.0,0.0,4.0,12,-0.0,0.0,65.8,Loss
Match 13 - Shanghai Regional 2025,6304,3,9.2,0.0,0.0,0.0,19.8,15.8,2.0,0.0,0.0,4.0,2,-0.0,0.0,55.8,Loss
Match 13 - Shanghai Regional 2025,8214,3,9.2,0.0,0.0,0.0,19.8,15.8,2.0,0.0,0.0,4.0,2,-0.0,0.0,55.8,Loss
Match 13 - Shanghai Regional 2025,7522,3,4.6,2.0,1.3,0.0,19.8,15.8,8.9,0.0,0.0,0.0,0,-0.0,0.0,55.4,Win
Match 13 - Shanghai Regional 2025,4613,3,4.6,2.0,1.3,0.0,19.8,15.8,8.9,0.0,0.0,0.0,12,-0.0,0.0,67.4,Win
Match 13 - Shanghai Regional 2025,9597,3,4.6,2.0,1.3,0.0,19.8,15.8,8.9,0.0,0.0,0.0,2,-0.0,0.0,57.4,Win
Finals 1 - Shanghai Regional 2025,10120,3,11.6,0.0,0.0,0.0,19.8,15.8,8.9,2.0,0.0,0.0,2,-2.7,0.0,60.4,Win
Finals 1 - Shanghai Regional 2025,5449,3,11.6,0.0,0.0,0.0,19.8,15.8,8.9,2.0,0.0,0.0,12,-2.7,0.0,70.4,Win
Finals 1 - Shanghai Regional 2025,6941,3,11.6,0.0,0.0,0.0,19.8,15.8,8.9,2.0,0.0,0.0,12,-2.7,0.0,70.4,Win
Finals 1 - Shanghai Regional 2025,7522,3,4.6,4.0,0.0,0.0,19.8,15.8,7.9,0.0,0.0,0.0,2,-0.0,0.0,57.1,Loss
Finals 1 - Shanghai Regional 2025,4613,3,4.6,4.0,0.0,0.0,19.8,15.8,7.9,0.0,0.0,0.0,2,-0.0,0.0,57.1,Loss
Finals 1 - Shanghai Regional 2025,9597,3,4.6,4.0,0.0,0.0,19.8,15.8,7.9,0.0,0.0,0.0,2,-0.0,0.0,57.1,Loss
Finals 2 - Shanghai Regional 2025,10120,3,9.2,0.0,0.0,0.0,19.8,14.5,9.9,0.7,0.0,0.0,2,-0.0,0.0,59.1,Win
Finals 2 - Shanghai Regional 2025,5449,3,9.2,0.0,0.0,0.0,19.8,14.5,9.9,0.7,0.0,0.0,12,-0.0,0.0,69.1,Win
Finals 2 - Shanghai Regional 2025,6941,3,9.2,0.0,0.0,0.0,19.8,14.5,9.9,0.7,0.0,0.0,12,-0.0,0.0,69.1,Win
Finals 2 - Shanghai Regional 2025,7522,3,2.3,4.0,1.3,0.0,19.8,15.8,10.9,0.0,0.0,0.0,2,-0.0,0.0,59.1,Loss
Finals 2 - Shanghai Regional 2025,4613,3,2.3,4.0,1.3,0.0,19.8,15.8,10.9,0.0,0.0,0.0,12,-0.0,0.0,69.1,Loss
Finals 2 - Shanghai Regional 2025,9597,3,2.3,4.0,1.3,0.0,19.8,15.8,10.9,0.0,0.0,0.0,0,-0.0,0.0,57.1,Loss
